timestep_size,error_position,error_momentum,error_multiplier
0.01,3.092117015052897e-05,0.00013652765340115044,0.0018612857564171616
0.005,7.800244709450135e-06,2.8677362367314296e-05,2.45878629823744e-05
0.002,1.2483659283202484e-06,4.324507157141034e-06,0.0004722124720573872
0.001,3.0959323434753194e-07,1.05845668022511e-06,0.0005425415647851815
